url,name,cost_sgd,sell_sgd,sold,reviews,rating,images,shop
https://shopee.sg/mattress-protector-waterproof-bedsheet-pillow-bolster-case-anti-dust-mite-i.15050500.1540553901,"mattress protector 🇸🇬waterproof bedsheet pillow bolster case anti dust mite",6,39,5000,3666,4.9,9,"maternityexpress"
https://shopee.sg/mattress-protector-bed-bug-bedbugs-proof-waterproof-zipper-encasement-pillow-bolster-case-i.15050500.1540519896,"mattress protector 🇸🇬 Bed Bug bedbugs proof Waterproof zipper encasement pillow bolster case",6,39,5000,3599,4.9,9,"maternityexpress"
https://shopee.sg/koala-home-multi-purpose-foldable-laptop-table-lazy-table-bed-table-with-tablet-holder-for-work-stu-i.785454343.20607791887,"🇸🇬Koala Home🔥Multi-purpose Foldable Laptop Table Lazy Table Bed Table with Tablet Holder for Work Study",20.67,49,5000,3351,4.82,9,"Koala Home Lifestyle "
https://shopee.sg/sg-seller-mattress-protector-mattress-topper-anti-mite-breathable-with-elastic-band-i.624002679.15523901008,"SG Seller Mattress Protector Mattress Topper Anti Mite Breathable With Elastic Band",10,39,5000,3344,4.91,9,"jiajiahong"
https://shopee.sg/jiji-sg-portable-aluminium-folding-table-outdoor-foldable-table-fold-office-furniture-i.31165845.6643128148,"(JIJI SG) PORTABLE ALUMINIUM FOLDING TABLE Outdoor | Foldable Table | Fold  | Office  | Furniture",26.56,59,5000,3147,4.72,9,"JIJI.SG Official Store"
https://shopee.sg/sgs-certified-no-1-popular-in-japan-tatami-mattress-3-fold-4-size-option-i.2889150.1933722708,"🥇SGS Certified No.1 Popular in Japan! ★ TATAMI Mattress 3 Fold  (4 size option)",38.15,69,5000,3063,4.77,6,"krafter.sg"
https://shopee.sg/sg-stock-sgs-certified-no-1-popular-in-japan-tatami-mattress-cover-4-size-option-i.2889150.2470787981,"🥇【SG STOCK】SGS Certified No.1 Popular in Japan! ★Tatami Mattress Cover 🌟 [4 size option]",11.93,39,5000,2899,4.87,9,"krafter.sg"
https://shopee.sg/4-foam-bamboo-knitted-foldable-mattress-i.318646851.22214621168,"4' Foam Bamboo Knitted Foldable Mattress",92,139,5000,2863,4.95,7,"SleepMeMoments"
https://shopee.sg/dreamax-equinox-rest-8-inch-comfort-pocket-spring-mattress-i.486967120.14668989918,"DREAMAX Equinox Rest 8 Inch Comfort Pocket Spring Mattress",76.34,119,5000,2861,4.8,9,"DREAMAX"
https://shopee.sg/plastic-storage-box-dust-proof-and-moisture-proof-shoe-rack-shoe-storage-cabinet-household-simple-tr-i.704355887.18372904549,"Plastic storage box dust-proof and moisture-proof shoe rack shoe storage cabinet household simple transparent shoe box",1.81,29,5000,2834,4.6,9,"HOME+SG"
https://shopee.sg/furnituresg-ready-stock-local-seller-spring-pocket-mattress-single-super-single-queen-king-soft-ext-i.9880889.9889567406,"(FurnitureSG) (Ready Stock) Local Seller Spring Pocket Mattress Single/Super Single/Queen/King Soft Extra Firm",314.41,479,5000,2756,4.81,9,"FurnitureSG"
https://shopee.sg/deliver-in-1-2-days-all-size-foam-mattress-available-i.10435812.4748310120,"[Deliver in 1-2 days] All Size Foam Mattress Available",83.8,129,5000,2746,4.88,7,"SnoozeBedding"
https://shopee.sg/bamboo-shoe-rack-bench-seat-wearing-taking-off-shoes-strong-organizer-i.96953349.1619975370,"Bamboo Shoe Rack Bench/Seat Wearing Taking off Shoes Strong Organizer",19.8,49,5000,2697,4.73,9,"Lucky Baby Mummy SG"
https://shopee.sg/somnuz-comfy-10inch-individual-pocketed-spring-mattress-i.154665307.2337840960,"Somnuz Comfy 10inch Individual Pocketed Spring Mattress",252.43,379,5000,2627,4.78,9,"Megafurniture Official Store"
https://shopee.sg/premium-bamboo-installation-free-foldable-bamboo-shoe-rack-storage-shelves-organization-i.280158947.21850200827,"<Premium Bamboo> Installation Free Foldable Bamboo Shoe Rack Storage Shelves Organization",14.57,39,5000,2564,4.83,9,"JIAJIA HOME MART"
